org_id,org_name,org_type,homepage_url,jobs_url,canonical_jobs_url,jobs_source_type,adapter,confidence,discovered_via,last_verified,notes,manual_review,column
,Musk-kosiminiziibing,first_nation,http://biggrassy.ca/,http://biggrassy.ca/employment-opportunities,http://biggrassy.ca/wp-content/uploads/2022/08/JP-Navigator-11-07-2025.pdf,pdf,pdf,0.75,html_a_href,2026-02-23,pdf path detected via a_href,0,Link to PDF
,Township of North Algona-Wilberforce,municipality,http://nalgonawil.com/,http://nalgonawil.com/opportunities-tenders,http://nalgonawil.com/wp-content/uploads/2024/04/NAW-Employment-Public-Works-FINAL.pdf,pdf,pdf,0.75,html_a_href,2026-02-23,pdf path detected via a_href,0,"Link to PDF under dropdown menu / ""EMPLOYMENT OPPORTUNITIES"""
,Animbiigoo Zaagi'igan Anishinaabek,first_nation,http://www.aza.ca/,,,,,,,,,1,
,Bingwi Neyaashi Anishinaabek,first_nation,http://www.bnafn.ca/,http://www.bnafn.ca/employment-opportunities/,http://www.bnafn.ca/wp-content/uploads/2022/10/sawMillWorkerJob.pdf,pdf,pdf,0.75,html_a_href,2026-02-23,pdf path detected via a_href,0,"Link to PDF under ""OPEN JOB POSTINGS"""
,Biinjitiwaabik Zaaging Anishinaabek,first_nation,http://www.rockybayfn.ca/,http://www.rockybayfn.ca/job-board,http://www.rockybayfn.ca/upload/documents/scanned-from-a-xerox-multifunction-print.pdf,pdf,pdf,0.75,html_a_href,2026-02-23,pdf path detected via a_href,0,PDF image of job posting displayed
,Zhiibaahaasing First Nation,first_nation,http://www.uccmm.ca/zhiibaahaasing.html,http://www.uccmm.ca/employment-opportunities.html,http://www.uccmm.ca/uploads/1/6/3/9/16398014/uccm_castle_building_general_manager_job_posting__january_2026__.pdf,pdf,pdf,0.75,html_a_href,2026-02-23,pdf path detected via a_href,0,"Link to PDF under ""Employment Opportunity"""
,Township of Ashfield-Colborne-Wawanosh,municipality,https://acwtownship.ca/,https://acwtownship.ca/government/careers,https://acwtownship.ca/government/careers,html_list,html_list,0.68,html_parse,2026-02-23,job-like links found on landing page,0,Unknown. Likely Link to PDF
,Township of Adjala-Tosorontio,municipality,https://adjtos.ca/,https://adjtos.ca/municipal-government/employment-opportunities,https://adjtos.ca/wp-content/uploads/2025/12/Engineeing-Development-Mgr-Job-Posting-Jan2026.pdf,pdf,pdf,0.75,html_a_href,2026-02-23,pdf path detected via a_href,0,"Link to PDF under ""Current Opportunities"" / ""SEE MORE"" button"
,Township of Admaston-Bromley,municipality,https://admastonbromley.com/,https://admastonbromley.com/news-notices/,https://admastonbromley.com/wp-content/uploads/2025/10/FINAL-ON-Detailed-Material-List.pdf,pdf,pdf,0.75,html_a_href,2026-02-23,pdf path detected via a_href,0,"Link to PDF under ""Employment Opportunities"""
,Township of Alberton,municipality,https://alberton.ca/,https://alberton.ca/employment/,https://alberton.ca/employment,unknown,generic,0.30,fallback_unknown,2026-02-23,unable to classify; requires manual review,1,Unknown. Likely Link to PDF
,Alderville First Nation,first_nation,https://alderville.ca/,https://alderville.ca/employment-opportunities,https://alderville.ca/wp-content/uploads/2025/12/ALFDC%20PACT%202026.pdf,pdf,pdf,0.75,html_a_href,2026-02-23,pdf path detected via a_href,0,"Link to WordPress upload (.png, etc.) under ""Open Positions"""
,Aundeck-Omni-Kaning,first_nation,https://aokfn.com/,https://aokfn.com/employment,https://aokfn.com/employment,unknown,generic,0.30,fallback_unknown,2026-02-23,unable to classify; requires manual review,1,PDF image of job postings(s) displayed
,Apitipi Anicinapek Nation,first_nation,https://apitipi.ca/,,,,,,,,,1,
,Atikameksheng Anishnawbek,first_nation,https://atikamekshenganishnawbek.ca/,https://atikamekshenganishnawbek.bamboohr.com/careers,https://atikamekshenganishnawbek.bamboohr.com/careers,unknown,generic,0.30,fallback_unknown,2026-02-23,unable to classify; requires manual review,1,BambooHR ATS
,Township of Atikokan,municipality,https://atikokan.ca/,https://atikokan.ca/town-administration/job-opportunities,https://atikokan.ca/wp-content/uploads/2026/02/casual-lifeguard-2026-job-ad.pdf,pdf,pdf,0.75,html_a_href,2026-02-23,pdf path detected via a_href,0,Link to PDF
,Township of Augusta,municipality,https://augusta.ca/,https://augusta.ca/employment-opportunities/,https://augusta.ca/employment-opportunities,unknown,generic,0.30,fallback_unknown,2026-02-23,unable to classify; requires manual review,1,Unknown. Firefighter Recruitment links to form and mailto. Likely Link to PDF
,Town of Aylmer,municipality,https://aylmer.ca/,https://aylmer.ca/town-hall/employment-opportunities/,https://aylmer.ca/town-hall/employment-opportunities,unknown,generic,0.30,fallback_unknown,2026-02-23,unable to classify; requires manual review,1,Link to HTML page
,Town of Bancroft,municipality,https://www.bancroft.ca/,https://bancroft.civicweb.net/filepro/documents/47725/,https://bancroft.civicweb.net/filepro/documents/47725,html_list,html_list,0.68,html_parse,2026-02-23,job-like links found on landing page,0,"CivicInfo and PDFs. If ""RECRUITMENT"" AND "".PDF"", include"
,Batchewana First Nation,first_nation,https://batchewana.ca/,https://batchewana.ca/careers,https://batchewana.ca/wp-content/uploads/2025/11/Program-Lead-%E2%80%93-Land-Based-Healing-Feb-27-2026.pdf,pdf,pdf,0.75,html_a_href,2026-02-23,pdf path detected via a_href,0,"Link to PDF with hyperlink of ""Position Details"" and/or button starting with ""Details"""
,Township of Beckwith,municipality,https://beckwith.ca/,https://beckwith.ca/category/career-employment/,https://beckwith.ca/category/career-employment,unknown,generic,0.30,fallback_unknown,2026-02-23,unable to classify; requires manual review,1,Link to HTML page/blog post with details
,Brunswick House,first_nation,https://bhfn.ca/,https://bhfn.ca/category/job-opportunity/,https://bhfn.ca/category/job-opportunity,unknown,generic,0.30,fallback_unknown,2026-02-23,unable to classify; requires manual review,1,Link to HTML page/blog post with details
,"Township of Brudenell, Lyndoch and Raglan",municipality,https://blrtownship.ca/,https://blrtownship.ca/article/employment/,https://blrtownship.ca/article/employment,unknown,generic,0.30,fallback_unknown,2026-02-23,unable to classify; requires manual review,1,Unknown. Likely Link to PDF or HTML
,City of Brockville,municipality,https://brockville.com/,https://brockville.com/city-services/careers,https://brockville.com/wp-content/uploads/2025/Excavation-Permit-Form-2025.pdf,pdf,pdf,0.75,html_a_href,2026-02-23,pdf path detected via a_href,0,"Link to HTML page. Listed under ""Current Opportunities"""
,Municipality of Brooke-Alvinston,municipality,https://www.brookealvinston.com/,https://brookealvinston.com/residents/employment-opportunities-2,https://brookealvinston.com/residents/employment-opportunities-2,unknown,generic,0.30,fallback_unknown,2026-02-23,unable to classify; requires manual review,1,Unknown. Likely Link to PDF or HTML
,Town of Bruce Mines,municipality,https://brucemines.ca/,https://brucemines.ca/government/employment-opportunities,https://www.circularmaterials.ca/wp-content/uploads/2025/12/Bruce-Mines-ON-2026-Recycle-guide-and-calendar-template.pdf,pdf,pdf,0.75,html_a_href,2026-02-23,pdf path detected via a_href,0,Unknown. Likely Link to PDF or HTML
,Regional Municipality of Halton,municipality,https://www.halton.ca/,https://careers.halton.ca/go/All-Opportunities/2649617/,https://careers.halton.ca/go/All-Opportunities/2649617,html_list,html_list,0.68,html_parse,2026-02-23,job-like links found on landing page,0,"SAPSF ATS; Embeded List -> Navigation, If Relevant, to Page"
,City of Thunder Bay,municipality,https://www.thunderbay.ca/en/index.aspx,https://careers.thunderbay.ca/careers-home/jobs?limit=100&page=1,https://www.icims.com/legal/privacy-notice-website,ats_icims,icims,0.92,html_a_href,2026-02-23,matched icims domain via a_href,0,"ICIMS ATS; Embeded List -> Navigation, If Relevant, to Page"
,Town of Carleton Place,municipality,https://carletonplace.ca/,https://carletonplace.ca/town/municipal-services-info/employment-opportunities,https://carletonplace.ca/wp-content/uploads/2026/02/Job-Description-Literacy-Tutor-2026.pdf,pdf,pdf,0.75,html_a_href,2026-02-23,pdf path detected via a_href,0,Link to PDF
,Township of Carling,municipality,https://carling.ca/,https://carling.ca/municipal-information/employment-in-carling,https://carling.ca/wp-content/uploads/Job-Posting-Treasurer-2025.pdf,pdf,pdf,0.75,html_a_href,2026-02-23,pdf path detected via a_href,0,Unknown. Likely Link to PDF or HTML
,Township of Carlow/Mayo,municipality,https://carlowmayo.ca/,https://carlowmayo.ca/council/tenders-rfqs-rfps-employment,https://carlowmayo.ca/wp-content/uploads/2026/02/Job-AD-for-Permanent-Part-Time-Pound-Keeper.pdf,pdf,pdf,0.75,html_a_href,2026-02-23,pdf path detected via a_href,0,"Link to PDF under ""Related Documents"""
,Township of Casey,municipality,https://casey.ca/,,,,,,,,,1,
,Township of Chapleau,municipality,https://chapleau.ca/,https://chapleau.ca/business/resources/employment-volunteer-opportunities,https://chapleau.ca/UploadedFiles/files/Skate%20patrol%202025-26%20EN.pdf,pdf,pdf,0.75,html_a_href,2026-02-23,pdf path detected via a_href,0,Link to PDF
,Chapleau Cree First Nation,first_nation,https://chapleaucree.ca/,https://chapleaucree.ca/employment-opportunities,https://chapleaucree.ca/employment-opportunities,html_list,html_list,0.68,html_parse,2026-02-23,job-like links found on landing page,0,Link to HTML page / displayed PDF
,Township of Chapple,municipality,https://chapple.on.ca/,https://chapple.on.ca/employment/,https://chapple.on.ca/wp-content/uploads/2018/10/OCWA-Expression-of-Interest-2022-05-04.pdf,pdf,pdf,0.75,html_a_href,2026-02-23,pdf path detected via a_href,0,"Link to HTML / PDF under ""Employment Opportunities"""
,Township of Chatsworth,municipality,https://chatsworth.ca/,https://chatsworth.ca/government/employment-opportunities/,https://chatsworth.ca/wp-content/uploads/2026/02/Deputy-Clerk-Posting-2026.pdf,pdf,pdf,0.75,html_a_href,2026-02-23,pdf path detected via a_href,0,Link to PDF
,Beausoleil,first_nation,https://www.chimnissing.ca/index.html,https://chimnissing.ca/humanr.html,https://chimnissing.ca/jobs/02092026-MH-WORKER.pdf,pdf,pdf,0.75,html_a_href,2026-02-23,pdf path detected via a_href,0,"Link to PDF under ""JOB POSTINGS"""
