org_id,org_name,source_url,candidate_title,rejection_reason
,,https://adjtos.ca/wp-content/uploads/2026/08/Equip-Op-Job-Posting-Aug2026.pdf,Equip Op Job Posting Aug 2026,validation gate failed (1/2): pdf_role_title
,,https://aylmer.ca/town-hall/employment-opportunities,Day Camp Volunteer,validation gate failed (1/2): keywords_near_title
,,https://innisfil.hua.hrsmart.com/hr/ats/JobSearch/viewAll,Cross Site Request Forgery (csrf),validation gate failed (0/2): no signals
,,https://aokfn.com/employment,Covid 19 Information,validation gate failed (0/2): no signals
,,https://aokfn.com/employment,Design De Plume,validation gate failed (0/2): no signals
,,https://aokfn.com/employment,Google Maps,validation gate failed (1/2): title_source_og_title
,,https://beckwith.ca/category/career-employment,Tel,validation gate failed (0/2): no signals
,,https://beckwith.ca/category/career-employment,Contact Us,validation gate failed (1/2): keywords_near_title
,,https://echobay.ca/career-opportunities,Part Time Arena Caretaker Job Posting August 2026,validation gate failed (1/2): pdf_role_title
,,https://jocelyn.ca/township-office/employment-opportunities,Contact,validation gate failed (0/2): no signals
,,https://dokis.ca/employment-services,Andreac,validation gate failed (0/2): no signals
,,https://dokis.ca/employment-services,Header 8.png,validation gate failed (0/2): no signals
,,https://www.lacseulfn.org/vacant-jobs,Overview - Lac Seul First Nation,validation gate failed (1/2): title_source_og_title
,,https://alderville.ca/employment-opportunities,Profile - Alderville First Nation,validation gate failed (1/2): title_source_og_title
,,https://alderville.ca/employment-opportunities,Register - Alderville First Nation,validation gate failed (1/2): title_source_og_title
,,https://alderville.ca/employment-opportunities,Jobs,short generic nav title
,,https://alderville.ca/employment-opportunities,We apologize for the inconvenience...,validation gate failed (1/2): title_source_h1
,,https://alderville.ca/employment-opportunities,Inspiro,validation gate failed (0/2): no signals
,,https://alderville.ca/employment-opportunities,Purposes,validation gate failed (0/2): no signals
,,https://chapleau.ca/business/resources/employment-volunteer-opportunities,www.jobsinchapleau.com,validation gate failed (0/2): no signals
,,https://chapleau.ca/business/resources/employment-volunteer-opportunities,Search,validation gate failed (0/2): no signals
,,https://chapleau.ca/business/resources/employment-volunteer-opportunities,Council Agenda & Minutes,validation gate failed (1/2): title_source_og_title
,,https://chapleau.ca/business/resources/employment-volunteer-opportunities,August 2026,validation gate failed (1/2): title_source_og_title
,,https://chapleau.ca/business/resources/employment-volunteer-opportunities,Accessibility,validation gate failed (0/2): no signals
,,https://chapleau.ca/business/resources/employment-volunteer-opportunities,Privacy Policy,validation gate failed (1/2): keywords_near_title
,,https://bancroft.civicweb.net/filepro/documents/47725,Temporary Operator Public Works,validation gate failed (1/2): role_like_title
,,https://bancroft.civicweb.net/filepro/documents/47725,Temporary Full Time Operator,validation gate failed (1/2): role_like_title
,,https://bancroft.civicweb.net/filepro/documents/47725,126827,validation gate failed (1/2): keywords_near_title
,,https://bancroft.civicweb.net/filepro/documents/47725,CLOSED AND NOT FILLED POSITIONS,validation gate failed (1/2): keywords_near_title
,,https://bancroft.civicweb.net/filepro/documents/47725,CLOSED AND FILLED POSITIONS,validation gate failed (1/2): keywords_near_title
,,https://bancroft.civicweb.net/filepro/documents/47725,Resetpassword,validation gate failed (0/2): no signals
,,https://orillia.hiringplatform.ca/list/careers,City of Orillia,validation gate failed (1/2): title_source_og_title
,,https://jobs.kitchener.ca/,Search,validation gate failed (1/2): url_hint
,,https://oliverpaipoonge.ca/municipal-office/employment,228,validation gate failed (0/2): no signals
,,https://oliverpaipoonge.ca/municipal-office/employment,228,validation gate failed (0/2): no signals
,,https://oliverpaipoonge.ca/municipal-office/employment,228,validation gate failed (0/2): no signals
,,https://oliverpaipoonge.ca/municipal-office/employment,Jobs,short generic nav title
,,https://oliverpaipoonge.ca/municipal-office/employment,Lakehead University Job Bank,validation gate failed (0/2): no signals
,,https://oliverpaipoonge.ca/municipal-office/employment,Jobs In Thunder Bay Ontario,validation gate failed (1/2): url_hint
,,https://oliverpaipoonge.ca/municipal-office/employment,Browse Results,validation gate failed (0/2): no signals
,,https://blrtownship.ca/article/employment,Council Meetings,validation gate failed (1/2): listing_apply_pattern
,,https://blrtownship.ca/article/employment,Payment Information,validation gate failed (1/2): listing_apply_pattern
,,https://www.nationmun.ca/fr/hotel-de-ville/carrieres,116,non-job category context
,,https://www.nationmun.ca/fr/hotel-de-ville/carrieres,Ressources Humaines,non-job category context
,,https://www.nationmun.ca/fr/hotel-de-ville/carrieres,Representant Au Service La Clientele Et Soutien Administratif,non-job category context
,,https://www.nationmun.ca/fr/hotel-de-ville/carrieres,Assistant au technicien,non-job category context
,,https://www.nationmun.ca/fr/hotel-de-ville/carrieres,Commis Au Service La Clientele Loisirs,non-job category context
,,https://delawarenation.on.ca/category/employment,"August 19 , 2026",validation gate failed (1/2): title_source_h2
,,https://delawarenation.on.ca/category/employment,Carpenter’s Union,validation gate failed (1/2): title_source_h1
,,https://delawarenation.on.ca/category/employment,Dn Newsletters,validation gate failed (0/2): no signals
,,https://delawarenation.on.ca/category/employment,PS Policy Update,validation gate failed (1/2): title_source_h2
,,https://delawarenation.on.ca/category/employment,Community Bday Celebration and Trusted Source,validation gate failed (1/2): title_source_h2
,,https://delawarenation.on.ca/category/employment,Updates From the Chief,validation gate failed (1/2): role_like_title
,,https://simcoe.hua.hrsmart.com/hr/ats/JobSearch/viewAll,Cross Site Request Forgery (csrf),validation gate failed (0/2): no signals
,,https://simcoe.hua.hrsmart.com/hr/ats/JobSearch/viewAll,Social,validation gate failed (0/2): no signals
,,https://northumberland.ca/county-government/careers,2y 2qv Ewrq IE,blocked posting URL
,,https://northumberland.ca/county-government/careers,O 9p Jm X 9sso I,blocked posting URL
,,https://northumberland.ca/county-government/careers,Qfmp Zyu 5g Ds,blocked posting URL
,,https://northumberland.ca/county-government/careers,F 7au 2rty 4U,blocked posting URL
,,https://northumberland.ca/county-government/careers,8g Xd 7fc Bvfw,blocked posting URL
,,https://northumberland.ca/county-government/careers,2s Ai 7gzjq I,blocked posting URL
,,https://northumberland.ca/county-government/careers,Subscribe,validation gate failed (1/2): listing_apply_pattern
,,https://northumberland.ca/county-government/careers,Privacy Policy,validation gate failed (1/2): listing_apply_pattern
,,https://northumberland.ca/county-government/careers,Maps,validation gate failed (1/2): listing_apply_pattern
,,https://northumberland.ca/county-government/careers,Main Login,validation gate failed (1/2): listing_apply_pattern
,,https://welland.myavanti.ca/careers,The Fast & Secure Web Browser Built to be Yours,validation gate failed (1/2): title_source_og_title
,,https://welland.myavanti.ca/careers,"Manuals , Specs , and Downloads",validation gate failed (1/2): title_source_og_title
,,https://www.mapleton.ca/administration-and-town-hall/employment,Privacy Policy,validation gate failed (0/2): no signals
,,https://www.mapleton.ca/administration-and-town-hall/employment,Water and Wastewater Master Plan,validation gate failed (1/2): title_source_og_title
,,https://town.petrolia.on.ca/wp-content/uploads/2026/07/H11-FD-26-Volunteer-Firefighter-Recruitment-Ad.pdf,H 11 FD 26 Volunteer Firefighter Recruitment Ad,validation gate failed (0/2): no signals
,,https://taykwatagamou.com/about/careers,Haleycochrane,validation gate failed (0/2): no signals
,,https://taykwatagamou.com/about/careers,Member Login,validation gate failed (1/2): title_source_og_title
,,https://taykwatagamou.com/about/careers,Become a Member,validation gate failed (1/2): title_source_og_title
,,https://stjosephtownship.com/jobs,Email Protection,validation gate failed (1/2): keywords_near_title
,,https://stjosephtownship.com/jobs,Accessibility,validation gate failed (1/2): keywords_near_title
,,https://stjosephtownship.com/jobs,Contact Us,validation gate failed (1/2): keywords_near_title
,,https://stjosephtownship.com/jobs,Newsletter,validation gate failed (0/2): no signals
,,https://wasauksing.ca/employment-opportunities,Team Support September 7,validation gate failed (0/2): no signals
,,https://wasauksing.ca/employment-opportunities,Indeed Jobs,validation gate failed (1/2): url_hint
,,https://wasauksing.ca/employment-opportunities,Employment Opportunities 2,generic title pattern
,,https://wasauksing.ca/employment-opportunities,Anishinabek News Job Board,validation gate failed (1/2): url_hint
,,https://wasauksing.ca/employment-opportunities,Careers,short generic nav title
,,https://www.algonquinsofpikwakanagan.com/media/12slhjvc/rt-jobad-aoo-31jul2026.pdf,Rt Jobad Aoo 31jul 2026,validation gate failed (1/2): pdf_role_title
,,https://wabauskangfirstnation.com/careers,Google Maps,validation gate failed (1/2): title_source_og_title
,,https://wabauskangfirstnation.com/careers,Emergency Alerts,validation gate failed (0/2): no signals
,,https://mcnabbraeside.com/careers,News and Notices,validation gate failed (1/2): title_source_h1
,,https://mcnabbraeside.com/careers,Contact,validation gate failed (0/2): no signals
,,https://mcnabbraeside.com/careers,Calendar,validation gate failed (1/2): keywords_near_title
,,https://mcnabbraeside.com/careers,Notices,title blocklist exact: notices
,,https://mcnabbraeside.com/careers,Notice Of Sale Of Land By Public Tender July 30 2026 3123,validation gate failed (0/2): no signals
,,https://mcnabbraeside.com/careers,Council Meeting Summary,validation gate failed (1/2): title_source_h1
,,https://mcnabbraeside.com/careers,3497,validation gate failed (0/2): no signals
,,https://mcnabbraeside.com/careers,Ticks Are Active Know The Risks And Protect Yourself From Tick Bites 9091,validation gate failed (0/2): no signals
,,https://mcnabbraeside.com/careers,Public Notice Of Pesticide Use 9996,validation gate failed (0/2): no signals
,,https://wahnapitaefn.ca/notices/jobs/postings.html,C 7nup 0upp N,validation gate failed (0/2): no signals
,,https://wahnapitaefn.ca/notices/jobs/postings.html,Wfnnotices,validation gate failed (0/2): no signals
,,https://recruiting.ultipro.ca/COR5003CALED/JobBoard/55e2803a-385b-47b1-b911-51dd7ed81d1e?q=&o=postedDateDesc,"Welcome , come on in!",validation gate failed (1/2): title_source_h1
,,https://www.alfred-plantagenet.com/en/government-administration/job-postings-volunteering,Bénévoles Prescott,validation gate failed (1/2): title_source_og_title
,,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=2f8e846e-ba4e-4eb0-b528-bebc359be4c9&ccId=19000101_000001&lang=en_CA&selectedMenuKey=CurrentOpenings,Wfn Req,validation gate failed (0/2): no signals
,,https://nigigoonsiminikaaning.ca/category/employment,Graphic Artist,validation gate failed (1/2): title_source_h1
,,https://recruiting.ultipro.ca/COR5004CLMB/JobBoard/6b014206-1003-40c3-98a0-b2340f1971da?q=&o=postedDateDesc,"Welcome , come on in!",validation gate failed (1/2): title_source_h1
,,https://thessalon.ca/council-and-government/employment-opportunities,Events,title blocklist exact: events
,,https://recruiting.ultipro.ca/COR5101COMCH/JobBoard/99e5515b-9ffb-4d3b-a84e-95f953a5c0f2?q=&o=postedDateDesc,"Welcome , come on in!",validation gate failed (1/2): title_source_h1
,,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=9ba4d624-1cab-4482-861f-900704c3df0d&ccId=19000101_000001&type=JS&lang=en_CA&selectedMenuKey=CareerCenter,Wfn Req,validation gate failed (0/2): no signals
,,https://townshipofthenorthshore.ca/governing/employment,download Temp casual labourer 2026 posting,validation gate failed (1/2): role_like_title
,,https://townshipofthenorthshore.ca/governing/employment,download Municipal Clerk,validation gate failed (1/2): role_like_title
,,https://townshipofthenorthshore.ca/governing/employment,download Temp Casual labourer description 2026,validation gate failed (1/2): role_like_title
,,https://townshipofthenorthshore.ca/governing/employment,download Summer Student,validation gate failed (1/2): role_like_title
,,https://townshipofthenorthshore.ca/governing/employment,download SUMMER STUDENTS POSTER 2026,validation gate failed (1/2): role_like_title
,,https://townshipofthenorthshore.ca/governing/employment,Documents,validation gate failed (0/2): no signals
,,https://recruiting.ultipro.ca/COR5104CCOH/JobBoard/3bc4a2fd-51ca-4ae2-a6c0-8aabfc0f6788?q=&o=postedDateDesc,"Welcome , come on in!",validation gate failed (1/2): title_source_h1
,,https://oneida.on.ca/employment/job-listings,Environment At Oneida,validation gate failed (1/2): title_source_og_title
,,https://www.blandfordblenheim.ca/business-and-employment/employment-opportunities,Mfippa,validation gate failed (0/2): no signals
,,https://www.blandfordblenheim.ca/business-and-employment/employment-opportunities,"Accessibility for Ontarians with Disabilities Act , 2005 , S.O. 2005 , c. 11",validation gate failed (1/2): title_source_og_title
